DATE,DFEDTAR_20081215
9/27/82,10.25
9/28/82,10.25
9/29/82,10.25
9/30/82,10.25
10/1/82,10
10/2/82,10
10/3/82,10
10/4/82,10
10/5/82,10
10/6/82,10
10/7/82,9.5
10/8/82,9.5
10/9/82,9.5
10/10/82,9.5
10/11/82,9.5
10/12/82,9.5
10/13/82,9.5
10/14/82,9.5
10/15/82,9.5
10/16/82,9.5
10/17/82,9.5
10/18/82,9.5
10/19/82,9.5
10/20/82,9.5
10/21/82,9.5
10/22/82,9.5
10/23/82,9.5
10/24/82,9.5
10/25/82,9.5
10/26/82,9.5
10/27/82,9.5
10/28/82,9.5
10/29/82,9.5
10/30/82,9.5
10/31/82,9.5
11/1/82,9.5
11/2/82,9.5
11/3/82,9.5
11/4/82,9.5
11/5/82,9.5
11/6/82,9.5
11/7/82,9.5
11/8/82,9.5
11/9/82,9.5
11/10/82,9.5
11/11/82,9.5
11/12/82,9.5
11/13/82,9.5
11/14/82,9.5
11/15/82,9.5
11/16/82,9.5
11/17/82,9.5
11/18/82,9.5
11/19/82,9
11/20/82,9
11/21/82,9
11/22/82,9
11/23/82,9
11/24/82,9
11/25/82,9
11/26/82,9
11/27/82,9
11/28/82,9
11/29/82,9
11/30/82,9
12/1/82,9
12/2/82,9
12/3/82,9
12/4/82,9
12/5/82,9
12/6/82,9
12/7/82,9
12/8/82,9
12/9/82,9
12/10/82,9
12/11/82,9
12/12/82,9
12/13/82,9
12/14/82,8.5
12/15/82,8.5
12/16/82,8.5
12/17/82,8.5
12/18/82,8.5
12/19/82,8.5
12/20/82,8.5
12/21/82,8.5
12/22/82,8.5
12/23/82,8.5
12/24/82,8.5
12/25/82,8.5
12/26/82,8.5
12/27/82,8.5
12/28/82,8.5
12/29/82,8.5
12/30/82,8.5
12/31/82,8.5
1/1/83,8.5
1/2/83,8.5
1/3/83,8.5
1/4/83,8.5
1/5/83,8.5
1/6/83,8.5
1/7/83,8.5
1/8/83,8.5
1/9/83,8.5
1/10/83,8.5
1/11/83,8.5
1/12/83,8.5
1/13/83,8.5
1/14/83,8.5
1/15/83,8.5
1/16/83,8.5
1/17/83,8.5
1/18/83,8.5
1/19/83,8.5
1/20/83,8.5
1/21/83,8.5
1/22/83,8.5
1/23/83,8.5
1/24/83,8.5
1/25/83,8.5
1/26/83,8.5
1/27/83,8.5
1/28/83,8.5
1/29/83,8.5
1/30/83,8.5
1/31/83,8.5
2/1/83,8.5
2/2/83,8.5
2/3/83,8.5
2/4/83,8.5
2/5/83,8.5
2/6/83,8.5
2/7/83,8.5
2/8/83,8.5
2/9/83,8.5
2/10/83,8.5
2/11/83,8.5
2/12/83,8.5
2/13/83,8.5
2/14/83,8.5
2/15/83,8.5
2/16/83,8.5
2/17/83,8.5
2/18/83,8.5
2/19/83,8.5
2/20/83,8.5
2/21/83,8.5
2/22/83,8.5
2/23/83,8.5
2/24/83,8.5
2/25/83,8.5
2/26/83,8.5
2/27/83,8.5
2/28/83,8.5
3/1/83,8.5
3/2/83,8.5
3/3/83,8.5
3/4/83,8.5
3/5/83,8.5
3/6/83,8.5
3/7/83,8.5
3/8/83,8.5
3/9/83,8.5
3/10/83,8.5
3/11/83,8.5
3/12/83,8.5
3/13/83,8.5
3/14/83,8.5
3/15/83,8.5
3/16/83,8.5
3/17/83,8.5
3/18/83,8.5
3/19/83,8.5
3/20/83,8.5
3/21/83,8.5
3/22/83,8.5
3/23/83,8.5
3/24/83,8.5
3/25/83,8.5
3/26/83,8.5
3/27/83,8.5
3/28/83,8.5
3/29/83,8.5
3/30/83,8.5
3/31/83,8.625
4/1/83,8.625
4/2/83,8.625
4/3/83,8.625
4/4/83,8.625
4/5/83,8.625
4/6/83,8.625
4/7/83,8.625
4/8/83,8.625
4/9/83,8.625
4/10/83,8.625
4/11/83,8.625
4/12/83,8.625
4/13/83,8.625
4/14/83,8.625
4/15/83,8.625
4/16/83,8.625
4/17/83,8.625
4/18/83,8.625
4/19/83,8.625
4/20/83,8.625
4/21/83,8.625
4/22/83,8.625
4/23/83,8.625
4/24/83,8.625
4/25/83,8.625
4/26/83,8.625
4/27/83,8.625
4/28/83,8.625
4/29/83,8.625
